scenario,run,roi,target_condition,train_block,test_block,model,random_seed,train_rmse_percent,train_mae_percent,train_r2,train_pearson_r,test_rmse_percent,test_mae_percent,test_r2,test_pearson_r,scenario_label
motor_lr_m1_left,MOTOR_LR,M1_left,rh,1,2,GLM,20260729,0.469630383386735,0.3953085328147325,0.1490225220748864,0.5251221068025314,0.5261074747925424,0.4169779373597,0.3232310034311605,0.6329854706606968,LR–M1 izquierda–mano derecha
motor_lr_m1_left,MOTOR_LR,M1_left,rh,1,2,MLP,20260729,0.2440841411319421,0.1850902770597075,0.7701286644067977,0.8841593581692884,0.4537030179743329,0.3618705929234178,0.4966908254608879,0.8205201872639586,LR–M1 izquierda–mano derecha
motor_lr_m1_left,MOTOR_LR,M1_left,rh,1,2,PINN,20260729,0.2631834210767797,0.2092813783593493,0.7327469014342209,0.8724568851786111,0.4409195430414045,0.3537404991710816,0.5246536012901191,0.818630742853166,LR–M1 izquierda–mano derecha
motor_lr_m1_left,MOTOR_LR,M1_left,rh,2,1,GLM,20260738,0.5118789039956201,0.4133119763423604,0.3593424132723284,0.6329854706606967,0.4866762807020481,0.4054707657253891,0.0861265630706136,0.5251221068025314,LR–M1 izquierda–mano derecha
motor_lr_m1_left,MOTOR_LR,M1_left,rh,2,1,MLP,20260738,0.2839768839196485,0.2580038670907793,0.8028224393955922,0.9014986481658605,0.509620450413102,0.3951885314295044,-0.0020730632242473,0.8012746338537557,LR–M1 izquierda–mano derecha
motor_lr_m1_left,MOTOR_LR,M1_left,rh,2,1,PINN,20260738,0.4137783673125536,0.342049008711046,0.5813731556240058,0.8211882026441576,0.3233009703947396,0.279800606041901,0.5967079048213348,0.8691004328388282,LR–M1 izquierda–mano derecha
motor_lr_m1_right,MOTOR_LR,M1_right,lh,1,2,GLM,20260829,0.4604936593974211,0.3826247010144001,-0.2180589007393247,-0.1052959147932004,0.5513646103660381,0.4578694258388786,-0.1120688133688478,-0.2200198501501798,LR–M1 derecha–mano izquierda
motor_lr_m1_right,MOTOR_LR,M1_right,lh,1,2,MLP,20260829,0.2402247460197906,0.1865417930002973,0.6685206595780964,0.8183396927953817,0.4693804513973427,0.3852716019608511,0.1940578236560934,0.54741422379159,LR–M1 derecha–mano izquierda
motor_lr_m1_right,MOTOR_LR,M1_right,lh,1,2,PINN,20260829,0.5295502186196638,0.4352341183937209,-0.6107764948269008,0.5782653650143054,0.4957144357836052,0.4090257653115974,0.1010883278363746,0.6656954388613532,LR–M1 derecha–mano izquierda
motor_lr_m1_right,MOTOR_LR,M1_right,lh,2,1,GLM,20260838,0.5287573230443974,0.4382877038320089,-0.0227433811684925,0.2200198501501798,0.4894482242481013,0.4044180326746974,-0.3760508870336165,0.1052959147932004,LR–M1 derecha–mano izquierda
motor_lr_m1_right,MOTOR_LR,M1_right,lh,2,1,MLP,20260838,0.4762793524109687,0.4146324528628459,0.170192422977977,0.8922205136613934,0.7092008644147934,0.5999322140797417,-1.8890795006694967,0.5558547952070785,LR–M1 derecha–mano izquierda
motor_lr_m1_right,MOTOR_LR,M1_right,lh,2,1,PINN,20260838,0.4998398037649718,0.4096642421027963,0.086064468567116,0.6637427270564803,0.5522419444319203,0.4574012197617468,-0.751780788825356,0.5763020059501701,LR–M1 derecha–mano izquierda
motor_rl_m1_left,MOTOR_RL,M1_left,rh,1,2,GLM,20260929,0.5370074435147759,0.450800532667837,0.3455698356636616,0.5903212765017126,0.5537026392994224,0.4589532424320814,0.4277768491197797,0.7879614708370039,RL–M1 izquierda–mano derecha
motor_rl_m1_left,MOTOR_RL,M1_left,rh,1,2,MLP,20260929,0.3505894161314398,0.2878472824986232,0.7210667416629739,0.875677677174375,0.4497076571737615,0.3610666623387085,0.6225383779364352,0.8114672981964125,RL–M1 izquierda–mano derecha
motor_rl_m1_left,MOTOR_RL,M1_left,rh,1,2,PINN,20260929,0.4210427972063376,0.3335437371350826,0.5976952296275058,0.7893762316861497,0.530153862060231,0.4463714326142072,0.475414724680656,0.7667048794209043,RL–M1 izquierda–mano derecha
motor_rl_m1_left,MOTOR_RL,M1_left,rh,2,1,GLM,20260938,0.4508418420655154,0.3671597318250187,0.6206320233481099,0.7879614708370039,0.6238990505876358,0.5121836181398542,0.1166529820473092,0.5903212765017127,RL–M1 izquierda–mano derecha
motor_rl_m1_left,MOTOR_RL,M1_left,rh,2,1,MLP,20260938,0.2094063131760928,0.1114971450701398,0.9181550705997172,0.9609825841168091,0.6003522177855147,0.4601516993412163,0.1820722621144433,0.6904837468306696,RL–M1 izquierda–mano derecha
motor_rl_m1_left,MOTOR_RL,M1_left,rh,2,1,PINN,20260938,0.4065364633885505,0.3449337101713106,0.6915311981029402,0.8330708151139775,0.509181036428785,0.4115341243191927,0.4116345810593556,0.7631296872903784,RL–M1 izquierda–mano derecha
motor_rl_m1_right,MOTOR_RL,M1_right,lh,1,2,GLM,20261029,0.342395377684798,0.2891626206749895,0.5191453297351036,0.7208270793838101,0.7144066902373887,0.5486715588063235,-0.2262523999048327,0.5404681570254922,RL–M1 derecha–mano izquierda
motor_rl_m1_right,MOTOR_RL,M1_right,lh,1,2,MLP,20261029,0.1689576794187664,0.1297351006871323,0.8829115857663506,0.9723247597440098,0.7245740426788004,0.6107505228115689,-0.2614045344368514,0.7281318667417112,RL–M1 derecha–mano izquierda
motor_rl_m1_right,MOTOR_RL,M1_right,lh,1,2,PINN,20261029,0.2977446358435504,0.2338041910429771,0.6363815223428839,0.8011263735250167,0.6185492945443638,0.4992118205339004,0.0807418768103173,0.8121870190997241,RL–M1 derecha–mano izquierda
motor_rl_m1_right,MOTOR_RL,M1_right,lh,2,1,GLM,20261038,0.6272606034468634,0.494913001682487,0.0546668937152982,0.5404681570254922,0.4844095105178382,0.4082856760022273,0.0375384811347011,0.72082707938381,RL–M1 derecha–mano izquierda
motor_rl_m1_right,MOTOR_RL,M1_right,lh,2,1,MLP,20261038,0.1968870702450897,0.1541908163484598,0.9068627871270206,0.9571087464994728,0.6001032251837293,0.5322130005861555,-0.477100257781768,0.7317723137359251,RL–M1 derecha–mano izquierda
motor_rl_m1_right,MOTOR_RL,M1_right,lh,2,1,PINN,20261038,0.3899248805385793,0.3052122003423589,0.6346991018665749,0.8602130181863372,0.5450624812771786,0.4655250278775297,-0.2185704154840198,0.7602820785280832,RL–M1 derecha–mano izquierda
